,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
90,4.1,0.0,1,0.423,0.35700000000000004,81,5-11,29.2,0.3,12.0,Chucky Atkins,PG,2.1,3000000,4200000,1.8,DET,21.2,2001,0.35600000000000004
91,0.2,0.5,R,0.385,0.0,15,6-8,8.4,,2.1,Brian Cardinal,PF,1.5,316969,4903000,0.6,DET,16.5,2001,0.161
92,2.7,1.4,R,0.405,0.294,78,6-2,16.3,0.0,5.4,Mateen Cleaves,PG,1.7,1253400,305784,1.8,DET,20.5,2001,0.043
93,1.9,1.4,6,0.455,0.444,68,6-5,21.8,0.0,5.2,Michael Curry,SG,1.8,2200000,845122,0.9,DET,12.0,2001,0.027999999999999997
94,0.4,1.4,2,0.494,0.0,81,6-11,14.2,0.0,4.4,Mikki Moore,C,3.9,2850000,870046,0.9,DET,15.0,2001,0.004
95,1.1,0.0,5,0.405,0.0,69,6-10,28.1,0.0,12.3,Joe Smith,PF,7.1,2250000,5899400,1.3,DET,21.9,2001,0.006999999999999999
96,5.1,5.7,5,0.418,0.35100000000000003,80,6-6,40.2,5.3,29.8,Jerry Stackhouse,SG,3.9,5310000,7437500,4.1,DET,35.2,2001,0.245
97,1.5,5.7,4,0.49200000000000005,0.25,80,6-9,34.5,0.3,6.4,Ben Wallace,C,13.2,4000000,7000000,1.5,DET,10.4,2001,0.009000000000000001
98,1.0,1.9,4,0.442,0.0,33,6-9,24.4,0.3,7.3,Jerome Williams,PF,8.4,2870000,6187500,1.4,DET,15.5,2001,0.01
99,1.8,2.3,2,0.47700000000000004,0.25,56,6-7,28.8,0.2,11.1,Matt Harpring,SG,4.3,1244880,4690000,1.6,CLE,19.2,2001,0.099
100,0.8,0.0,2,0.491,0.0,24,7-3,25.7,0.9,11.7,Zydrunas Ilgauskas,C,6.7,10130000,14625000,2.5,CLE,24.1,2001,0.009000000000000001
101,4.2,0.3,3,0.133,0.0,6,5-10,15.5,0.9,1.5,Brevin Knight,PG,1.2,4250000,932546,1.2,CLE,12.0,2001,0.0
102,0.3,0.0,R,0.444,0.0,59,7-0,19.8,0.3,7.6,Chris Mihm,C,4.7,1923600,3371393,1.4,CLE,20.4,2001,0.003
103,8.0,1.8,1,0.465,0.266,82,6-3,34.7,3.6,15.8,Andre Miller,PG,4.4,1808400,7366667,3.2,CLE,23.2,2001,0.064
104,1.6,2.3,6,0.434,0.37,78,6-7,28.5,0.2,12.8,Lamond Murray,SF,4.4,3380000,1138500,1.8,CLE,23.5,2001,0.17800000000000002
