,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,TPG,Team,USG,Year,pct_from_3
12,1.4,0.7,9,0.497,0.0,73,7-4,28.6,4.0,16.7,Rik Smits,C,6.9,4000000,1.8,IND,29.2,1998,
13,0.1,1.0,14,0.476,0.333,15,6-10,7.0,4.0,1.5,Mark West,C,1.0,650000,0.5,IND,14.3,1998,
0,1.7,0.1,1,0.458,0.5,59,6-1,12.5,1.0,3.2,Corey Beck,PG,1.5,272250,1.2,CHH,16.0,1998,
1,2.0,3.1,10,0.4,0.222,2,5-3,8.0,0.3,3.0,Muggsy Bogues,PG,0.5,1800000,0.5,CHH,19.9,1998,
2,1.3,0.1,11,0.46,0.421,52,6-4,18.7,1.2,9.4,Dell Curry,SG,1.9,3660000,1.0,CHH,24.3,1998,
3,1.0,3.1,1,0.667,1.0,3,6-1,11.3,0.3,2.7,Tony Delk,PG,0.7,1000680,1.3,CHH,12.1,1998,
4,2.7,3.8,8,0.506,0.214,64,7-1,28.2,1.4,10.4,Vlade Divac,C,8.1,4833333,1.8,CHH,18.8,1998,
5,0.2,3.1,R,0.341,0.222,27,6-9,6.3,0.3,2.5,Tony Farmer,C,1.2,272250,0.3,CHH,21.7,1998,
6,1.0,0.8,5,0.511,0.091,78,7-0,23.6,0.4,11.3,Matt Geiger,C,6.7,1402000,1.4,CHH,23.2,1998,
7,4.2,1.7,8,0.512,0.0,81,6-7,38.9,1.0,12.8,Anthony Mason,PF,10.2,3471500,1.8,CHH,16.0,1998,
8,3.0,0.3,6,0.461,0.386,62,6-5,30.4,0.2,10.4,Bobby Phills,SG,3.5,2900000,1.7,CHH,17.7,1998,
9,0.6,0.1,7,0.461,0.375,79,6-9,14.0,1.2,4.9,J.R. Reid,PF,2.7,650000,0.8,CHH,18.2,1998,
10,2.2,1.7,8,0.464,0.433,82,6-7,40.2,2.6,22.3,Glen Rice,SF,4.3,4702000,2.2,CHH,25.1,1998,
11,6.5,0.3,4,0.467,0.347,81,6-0,35.1,1.0,13.0,David Wesley,PG,2.6,1800000,2.8,CHH,19.8,1998,
12,0.5,3.1,R,0.475,0.0,39,6-6,9.4,0.3,3.5,Travis Williams,SF,2.4,242000,0.8,CHH,21.4,1998,
0,0.3,1.3,9,0.474,0.0,50,6-10,8.0,8.1,1.8,Greg Anderson,C,2.4,272250,0.3,ATL,13.5,1998,
1,6.7,1.3,8,0.46,0.269,70,6-0,38.6,2.2,13.2,Mookie Blaylock,PG,4.9,3000000,2.5,ATL,20.1,1998,
2,0.7,1.3,8,0.437,0.25,77,6-7,15.6,8.1,5.0,Chucky Brown,SF,2.4,272250,0.7,ATL,17.8,1998,
3,2.2,0.5,12,0.46,0.348,79,6-6,34.2,0.2,10.2,Tyrone Corbin,SF,4.6,326700,1.1,ATL,15.3,1998,
4,0.2,3.1,R,0.421,0.333,40,6-9,6.4,8.1,3.8,Chris Crawford,PF,1.0,242000,0.5,ATL,28.6,1998,
5,1.1,1.3,R,0.378,0.391,30,6-3,15.7,8.1,7.6,Ed Gray,SG,1.5,723840,1.0,ATL,25.6,1998,
6,1.1,1.3,2,0.485,0.5,69,6-9,29.0,0.9,14.3,Alan Henderson,PF,6.4,1028400,1.6,ATL,23.9,1998,
7,2.6,1.3,5,0.495,0.222,74,6-11,30.8,1.3,13.8,Christian Laettner,PF,6.6,5050000,2.5,ATL,21.7,1998,
8,0.1,3.1,3,0.558,0.0,37,6-9,6.2,8.1,2.1,Anthony Miller,PF,1.9,272250,0.4,ATL,16.9,1998,
9,1.0,2.7,6,0.537,0.348,82,7-2,35.6,4.5,13.4,Dikembe Mutombo,C,11.4,9615187,2.0,ATL,17.6,1998,
10,2.0,1.3,3,0.474,0.419,59,6-3,24.6,0.7,9.3,Eldridge Recasner,SG,2.4,326700,1.5,ATL,18.4,1998,
11,4.0,1.3,6,0.475,0.351,73,6-7,39.1,4.5,20.1,Steve Smith,SG,4.2,5400000,2.4,ATL,23.9,1998,
12,0.3,2.0,1,1.0,0.0,3,5-10,5.3,8.1,0.7,Donald Whiteside,PG,0.3,272250,0.3,ATL,11.2,1998,
0,3.4,0.7,R,0.442,0.202,66,6-5,27.9,0.4,11.7,Derek Anderson,SF,2.8,1107240,1.9,CLE,21.4,1998,
1,1.0,0.6,4,0.341,0.167,18,6-5,11.4,3.3,2.1,Mitchell Butler,SG,1.2,272250,0.4,CLE,13.3,1998,
2,0.7,3.0,3,0.5,0.5,7,6-6,6.7,3.3,2.0,Tony Dumas,SG,0.7,1330000,0.7,CLE,18.0,1998,
3,0.9,0.2,7,0.428,0.333,69,6-10,15.0,3.3,4.2,Danny Ferry,PF,1.7,4000000,0.8,CLE,15.9,1998,
4,1.0,3.0,4,0.778,0.0,6,6-4,9.3,3.3,2.7,Greg Graham,SG,0.2,1540000,1.7,CLE,18.9,1998,
5,2.0,2.2,R,0.483,0.0,82,6-7,30.8,0.7,10.1,Cedric Henderson,SF,4.0,250000,2.0,CLE,17.8,1998,
6,0.9,1.7,R,0.519,0.25,82,7-3,29.0,0.3,13.9,Zydrunas Ilgauskas,C,8.8,828000,1.8,CLE,22.4,1998,
7,0.2,3.0,6,0.382,0.44,28,6-8,5.9,3.3,2.9,Henry James,PF,0.5,1000000,0.4,CLE,22.4,1998,
8,2.5,2.8,8,0.446,0.25,80,6-10,34.6,0.7,18.0,Shawn Kemp,PF,9.3,8600000,3.4,CLE,28.0,1998,
9,8.2,1.6,R,0.446,0.0,80,5-10,31.0,0.7,9.0,Brevin Knight,PG,3.2,949320,2.4,CLE,16.7,1998,
10,2.3,1.9,3,0.486,0.43,82,6-6,39.0,2.6,14.7,Wesley Person,SG,4.4,3500000,1.3,CLE,16.5,1998,
11,0.7,0.0,1,0.48,0.0,80,6-10,17.7,3.3,7.1,Vitaly Potapenko,C,3.9,1228560,1.7,CLE,22.4,1998,
12,0.2,2.7,1,0.444,0.43,41,6-10,4.6,3.3,1.1,Shawnelle Scott,C,1.4,500000,0.2,CLE,13.2,1998,
13,3.7,0.3,2,0.398,0.317,46,6-5,20.5,3.3,5.8,Bob Sura,SG,2.0,976920,2.0,CLE,18.7,1998,
0,1.2,0.0,6,0.511,0.333,78,6-9,33.6,0.3,16.2,Bison Dele,C,8.9,4050000,2.3,DET,23.9,1998,
1,3.5,0.2,12,0.468,0.371,72,6-3,32.3,2.9,13.1,Joe Dumars,SG,1.4,3000000,1.2,DET,18.9,1998,
2,6.8,2.4,3,0.457,0.143,81,6-8,40.7,2.4,21.1,Grant Hill,SF,7.7,5850000,3.5,DET,27.3,1998,
3,3.2,0.4,4,0.412,0.321,71,6-2,35.3,0.3,12.1,Lindsey Hunter,PG,3.5,1750000,1.5,DET,19.0,1998,
4,0.6,1.6,9,0.442,0.0,40,6-8,18.5,,3.5,Grant Long,PF,3.8,2610335,0.6,DET,10.3,1998,
5,0.3,3.6,16,0.457,0.0,59,6-10,12.0,,2.4,Rick Mahorn,C,3.3,480000,0.6,DET,11.9,1998,
6,1.6,1.2,3,0.46,0.176,24,6-5,19.7,,4.5,Aaron McKie,SF,2.8,1235000,1.0,DET,13.6,1998,
7,0.6,,R,0.394,0.0,30,6-5,7.8,,2.1,Charles O'Bannon,SG,1.1,320000,0.3,DET,16.8,1998,
8,0.3,0.3,R,0.5,0.0,33,6-11,9.6,,2.7,Scot Pollard,C,2.2,818160,0.4,DET,13.5,1998,
9,0.6,3.6,2,0.514,0.22,24,6-10,24.4,,6.5,Theo Ratliff,C,5.0,928080,1.4,DET,13.7,1998,
10,0.4,2.0,2,0.534,0.0,68,6-8,14.6,,3.5,Don Reid,PF,2.6,1000000,0.4,DET,11.0,1998,
11,1.3,0.2,5,0.446,0.22,77,6-8,21.3,0.5,7.7,Malik Sealy,SF,2.8,1150000,1.0,DET,18.8,1998,
12,0.6,0.4,1,0.526,0.0,77,6-9,16.9,0.5,5.3,Jerome Williams,PF,4.9,652800,0.8,DET,15.0,1998,
0,4.3,3.1,1,0.453,0.364,82,6-5,40.1,2.6,19.5,Ray Allen,SG,4.9,2052360,3.2,MIL,24.3,1998,
1,7.7,0.4,6,0.483,0.333,50,5-11,35.7,3.1,16.8,Terrell Brandon,PG,3.5,1469440,2.9,MIL,24.2,1998,
2,0.3,,2,0.375,0.333,6,6-7,5.0,,1.7,Tim Breaux,SF,0.3,272250,0.2,MIL,19.6,1998,
3,1.7,0.4,3,0.469,0.444,82,6-5,24.1,3.1,6.6,Michael Curry,SG,1.2,500000,0.9,MIL,13.2,1998,
4,0.4,2.1,1,0.455,0.308,45,6-9,10.0,,2.3,Jamie Feick,PF,2.8,272250,0.5,MIL,13.1,1998,
5,1.3,1.6,10,0.487,0.0,82,6-9,25.8,3.1,11.2,Armen Gilliam,PF,5.4,2780400,1.8,MIL,20.9,1998,
6,1.5,1.6,7,0.499,0.0,57,6-9,36.2,3.1,10.0,Tyrone Hill,PF,10.7,4110000,1.9,MIL,14.1,1998,
7,0.9,2.1,R,0.424,0.377,38,6-9,13.9,,6.4,Jerald Honeycutt,PF,2.4,300000,1.3,MIL,25.4,1998,
8,0.7,3.1,4,0.537,0.0,81,6-11,27.9,3.1,8.0,Ervin Johnson,C,8.5,2281128,1.4,MIL,14.0,1998,
9,0.3,0.4,9,0.38,0.0,57,6-11,12.1,,2.7,Andrew Lang,C,2.7,2700000,0.6,MIL,13.3,1998,
10,0.2,,R,0.278,0.364,13,6-7,3.7,,1.4,Jeff Nordgaard,PF,1.1,242000,0.2,MIL,23.7,1998,
